Date,Return
2011-08-01,0.039
2011-09-01,-0.004
2011-10-01,0.008
2011-11-01,0.007
2011-12-01,0.014
2012-01-01,0.006
2012-02-01,0.003
2012-03-01,-0.001
2012-04-01,0.010
2012-05-01,0.004
2012-06-01,0.013
2012-07-01,0.025
2012-08-01,-0.005
2012-09-01,0.002
2012-10-01,-0.003
2012-11-01,0.002
2012-12-01,0.002
2013-01-01,-0.004
2013-02-01,0.004
2013-03-01,0.020
2013-04-01,0.028
2013-05-01,-0.044
2013-06-01,-0.020
2013-07-01,0.026
2013-08-01,-0.016
2013-09-01,0.016
2013-10-01,0.018
2013-11-01,0.007
2013-12-01,0.010
2014-01-01,-0.012
2014-02-01,0.024
2014-03-01,-0.008
2014-04-01,0.011
2014-05-01,0.020
2014-06-01,0.008
2014-07-01,-0.008
2014-08-01,0.040
2014-09-01,-0.031
2014-10-01,0.020
2014-11-01,0.025
2014-12-01,0.010
2015-01-01,0.040
2015-02-01,-0.021
2015-03-01,-0.001
2015-04-01,-0.013
2015-05-01,0.000
2015-06-01,-0.013
2015-07-01,0.004
2015-08-01,-0.029
2015-09-01,0.006
2015-10-01,0.010
2015-11-01,-0.009
2015-12-01,-0.004
2016-01-01,0.004
2016-02-01,0.018
2016-03-01,0.009
2016-04-01,0.005
2016-05-01,-0.009
2016-06-01,0.044
2016-07-01,0.015
2016-08-01,-0.003
2016-09-01,0.001
2016-10-01,-0.018
2016-11-01,-0.015
2016-12-01,0.007
2017-01-01,0.009
2017-02-01,0.016
2017-03-01,0.002
2017-04-01,0.010
2017-05-01,0.015
2017-06-01,-0.006
2017-07-01,0.020
2017-08-01,0.006
2017-09-01,0.000
2017-10-01,0.016
2017-11-01,0.014
2017-12-01,0.008
2018-01-01,0.050
2018-02-01,-0.029
2018-03-01,-0.010
2018-04-01,-0.003
2018-05-01,0.006
2018-06-01,0.002
2018-07-01,0.005
2018-08-01,0.012
2018-09-01,-0.016
2018-10-01,-0.046
2018-11-01,0.010
2018-12-01,-0.022
2019-01-01,0.010
2019-02-01,-0.005
2019-03-01,0.020
2019-04-01,-0.003
2019-05-01,0.012
2019-06-01,0.020
2019-07-01,0.002
2019-08-01,0.047
2019-09-01,-0.015
2019-10-01,0.002
2019-11-01,-0.008
2019-12-01,0.018
2020-01-01,0.021
2020-02-01,-0.034
2020-03-01,-0.062
2020-04-01,0.016
2020-05-01,-0.003
2020-06-01,0.007
2020-07-01,0.015
2020-08-01,0.008
2020-09-01,-0.004
2020-10-01,-0.009
2020-11-01,0.027
2020-12-01,0.015
2021-01-01,0.003
2021-02-01,0.002
2021-03-01,0.000
2021-04-01,0.013
2021-05-01,0.003
2021-06-01,0.006
